Band,Album,Genres,Score
Gaerea,Mirage Review,Black Metal,4.5
Bong-Ra,Meditations Review,Instrumental Metal,4.5
Altars,Ascetic Reflection Review,Death Metal,4.5
Imperial Circus Dead Decadence,殯――死へ耽る想いは戮辱すら喰らい、彼方の生を愛する為に命を讃える――。 Review,"Melodic Death Metal, Power Metal",4.5
Kardashev,Liminal Rite Review,"Black Metal, Death Doom, Death Metal, Post-Metal",4.5
Cavernlight,As I Cast Ruin Upon the Lens That Reveals My Every Flaw Review,"Doom Metal, Post-Metal, Sludge Metal",4.5
Ou,one Review,"Ambient, Progressive Metal",4.5
Darkher,The Buried Storm Review,Doom Metal,4.5
In Aphelion,Moribund Review,Black Metal,4.5
Sylvaine,Nova Review,"Ambient Metal, Black Metal",4.5
Cult of Luna,The Long Road North Review,"Post-Hardcore, Post-Metal, Sludge Metal",4.5
Spider God,Black Renditions Review,"Black Metal, Melodic Black Metal, Pop Metal",4.5
Clouds,Despărțire Review,"Death Doom, Funeral Doom",4.5
Plebeian Grandstand,Rien ne suffit Review,"Black Metal, Post-Metal",4.5
Diablo Swing Orchestra,Swagger & Stroll Down the Rabbit Hole Review,,4.5
Black Sites,Untrue Review,"Heavy Metal, Progressive Metal",4.5
Archspire,Bleed the Future Review,"Death Metal, Technical Death Metal",4.5
1914,Where Fear and Weapons Meet Review,"Black Metal, Death Metal, Doom Metal",4.5
Bossk,Migration Review,"Ambient Metal, Drone, Post-Metal",4.5
Portal,Avow Review,"Black Metal, Blackened Death Metal, Death Metal, Experimental Metal",4.5
Dordeduh,Har Review,"Atmospheric Black Metal, Black Metal, Folk Metal, Progressive Metal",4.5
Mānbryne,Heilsweg: O udrece ciala i tulaczce duszy Review,Black Metal,4.5
Zao,The Crimson Corridor Review,"Metalcore, Post-Metal, Sludge",4.5
Paranorm,Empyrean Review,"Death Metal, Progressive Metal, Thrash Metal",4.5
Cryptic Shift,Visitations from Enceladus Review,"Death Metal, Technical Death Metal, Thrash Metal",4.5
Panzerfaust,The Suns of Perdition – Chapter II: Render unto Eden Review,Black Metal,4.5
Faceless Burial,Speciation Review,Death Metal,4.5
Haken,VIrus Review,"Djent, Progressive Metal",4.5
Valdrin,Effigy of Nightmares Review,Black Metal,4.5
Ulthar,Providence Review,Death Metal,4.5
Alestorm,Curse of the Crystal Coconut Review,"Folk Metal, Power Metal",4.5
Black Curse,Endless Wound Review,"Blackened Death Metal, Death Metal",4.5
Forlesen,Hierophant Violent Review,"Ambient Metal, Drone, Post-Metal",4.5
Earth Rot,Black Tides of Obscurity Review,"Black Metal, Death Metal",4.5
Xenobiotic,Mordrake Review,"Deathcore, Progressive Metal, Technical Death Metal",4.5
Godthrymm,Reflections Review,Doom Metal,4.5
Krater,Venenare Review,Black Metal,4.5
The Drowning,The Radiant Dark Review and Album Premiere,"Death Doom, Death Metal, Doom Metal, Funeral Doom",4.5
Wilderun,Veil of Imagination Review,"Death Metal, Melodic Death Metal, Progressive Metal, Symphonic Metal",4.5
Mayhem,Daemon Review,Black Metal,4.5
Rimfrost,Expedition: Darkness Review,Black Metal,4.5
Fvneral Fvkk,Carnal Confessions Review,Doom Metal,4.5
Atlantean Kodex,The Course of Empire Review,"Epic Metal, Heavy Metal",4.5
Devourment,Obscene Majesty Review,"Death Metal, Slam",4.5
Turilli / Lione Rhapsody,Zero Gravity: Rebirth and Evolution Review,Progressive Metal,4.5
Glare of the Sun,Theia Review,"Death Metal, Doom Metal, Post-Metal, Progressive Metal, Sludge Metal",4.5
Kull,Exile Review,,4.5
Waste of Space Orchestra,Syntheosis Review,"Black Metal, Doom Metal, Experimental Metal, Sludge Metal",4.5
Sermon,Birth of the Marvellous Review,Progressive Metal,4.5
Aephanemer,Prokopton Review,Melodic Death Metal,4.5
Gomorrah,Gomorrah Review,"Death Metal, Technical Death Metal",4.5
Ataraxie,Résignés Review,Death Metal,4.5
Wachenfeldt,The Interpreter Review,"Black Metal, Death Metal, Thrash Metal",4.5
King Apathy,Wounds Review,"Post-Hardcore, Post-Metal",4.5
Soen,Lotus Review,Progressive Metal,4.5
Sulphur Aeon,The Scythe of Cosmic Chaos Review,"Death Metal, Melodic Death Metal",4.5
Soen,“Rival” Premiere and Lotus Review,"Progressive Metal, Progressive Rock",4.5
Eneferens,The Bleakness of Our Constant Review,"Black Metal, Doom Metal",4.5
Madder Mortem,Marrow Review,Progressive Metal,4.5
Voivod,The Wake Review,"Heavy Metal, Progressive Metal",4.5
Allfather,And All Will Be Desolation Review,"Hardcore, Sludge Metal",4.5
Imperial Triumphant,Vile Luxury Review,Black Metal,4.5
Gaerea,Unsettling Whispers Review,"Atmospheric Black Metal, Black Metal, Sludge Metal",4.5
Altars of Grief,Iris Review,,4.5
Morrow,Fallow Review,"Crust Punk, Post-Metal",4.5
Barren Earth,A Complex of Cages Review,"Death Metal, Melodic Death Metal",4.5
Slaves BC,"Lo, and I Am Burning Review","Black Metal, Doom Metal, Sludge Metal",4.5
Necropanther,Eyes of Blue Light Review,"Melodic Death Metal, Thrash Metal",4.5
Thaurorod,Coast of Gold Review,Power Metal,4.5
Tribulation,Down Below Review,,4.5
Hamferð,Támsins likam Review,"Death Doom, Doom Metal, Funeral Doom",4.5
Desolate Shrine,Deliverance from the Godless Void Review,"Black Metal, Death Metal, Doom Metal",4.5
Converge,The Dusk in Us Review,"Hardcore, Metalcore",4.5
Sorcerer,The Crowning of the Fire King Review,"Doom Metal, Epic Metal, Heavy Metal",4.5
The Black Dahlia Murder,Nightbringers Review,Melodic Death Metal,4.5
Caligula’s Horse,In Contact Review,Progressive Rock,4.5
Chelsea Wolfe,Hiss Spun Review,"Doom Metal, Folk, Industrial Metal, Post-Metal",4.5
BIG|BRAVE,Ardor Review,"Doom Metal, Experimental Metal, Noise Metal, Post-Metal",4.5
Akercocke,Renaissance In Extremis Review,"Death Metal, Progressive Metal",4.5
Lör,In Forgotten Sleep Review,"Folk Metal, Power Metal, Progressive Metal",4.5
Impure Wilhelmina,Radiation Review,Post-Metal,4.5
Elder,Reflections of a Floating World Review,"Progressive Metal, Stoner Metal",4.5
Alestorm,No Grave but the Sea Review,,4.5
Loss,Horizonless Review,"Death Metal, Doom Metal",4.5
The Ruins of Beverast,Exuvia Review,,4.5
Pallbearer,Heartless Review,Doom Metal,4.5
Venenum,Trance of Death Review,"Black Metal, Blackened Death Metal, Death Metal",4.5
Dodecahedron,Kwintessens Review,Black Metal,4.5
Immolation,Atonement Review,Death Metal,4.5
Zao,The Well-Intentioned Virus Review,"Hardcore, Metalcore",4.5
Saor,Guardians Review,"Black Metal, Folk Metal",4.5
Mithras,On Strange Loops Review,Death Metal,4.5
Negură Bunget,Zi Review,"Black Metal, Folk Metal, Progressive Metal",4.5
The Dillinger Escape Plan,Dissociation Review,"Hardcore, Mathcore, Progressive Metal",4.5
Cara Neir/Wildspeaker,Guilt and His Reflection [Split] Review,"Black Metal, Crust Punk, Hardcore, Sludge",4.5
Unfathomable Ruination,Finitude Review,Death Metal,4.5
Uada,Devoid of Light Review,Black Metal,4.5
Darkher,Realms Review,Doom Metal,4.5
Fates Warning,Theories Of Flight Review,Progressive Metal,4.5
Vainaja,Verenvalaja Review,"Death Metal, Doom Metal",4.5
Haken,Affinity Review,"Progressive Metal, Progressive Rock",4.5
Messa,Belfry Review,Doom Metal,4.5
Plebeian Grandstand,"False Highs, True Lows Review","Black Metal, Mathcore, Noise",4.5
Mantar,Ode to the Flame Review,"Black Metal, Doom Metal, Sludge Metal",4.5
SIG:AR:TYR,Northen Review,"Black Metal, Folk Metal, Viking Metal",4.5
Skáphe,Skáphe² Review,Black Metal,4.5
Voivod,Post Society EP Review,Heavy Metal,4.5
Inverloch,Distance | Collapsed Review,"Death Metal, Doom Metal",4.5
Hyperion,Seraphical Euphony Review,"Black Metal, Melodic Death Metal",4.5
Brutality,Sea of Ignorance Review,Death Metal,4.5
Fleshgod Apocalypse,King Review,"Death Metal, Melodic Death Metal",4.5
Nightfell,Darkness Evermore Review,"Black Metal, Death Metal, Doom Metal",4.5
Avatarium,The Girl With the Raven Mask Review,"Doom Metal, Progressive Metal",4.5
Beaten to Death,Unplugged Review,,4.5
Horrendous,Anareta Review,"Death Metal, Melodic Death Metal, Progressive Metal",4.5
Enshine,Singularity Review,Melodic Death Metal,4.5
Satan,Atom By Atom Review,Heavy Metal,4.5
He Whose Ox Is Gored,"The Camel, The Lion, The Child Review","Doom Metal, Post-Metal, Progressive Metal, Shoegaze, Sludge",4.5
Gloryhammer,Space 1992: Rise of the Chaos Wizards Review,Power Metal,4.5
Nechochwen,Heart of Akamon Review,"Black Metal, Folk Metal",4.5
Chelsea Wolfe,Abyss Review,"Doom Metal, Electronica, Folk Metal, Non-metal Metal Things",4.5
Scythian,Hubris In Excelsis Review,,4.5
Trials,This Ruined World Review,Thrash Metal,4.5
Hope Drone,Cloak of Ash Review,"Black Metal, Drone",4.5
Cattle Decapitation,The Anthropocene Extinction Review,Death Metal,4.5
Alustrium,A Tunnel to Eden Review,"Death Metal, Melodic Death Metal, Progressive Metal",4.5
The Armed,Untitled Review,"Hardcore, Mathcore",4.5
Wilderun,Sleep at the Edge of the Earth Review,"Folk Metal, Progressive Metal, Symphonic Metal",4.5
Amestigon,Thier Review,Black Metal,4.5
Pyramaze,Disciples of the Sun Review,"Power Metal, Progressive Metal",4.5
Outre,Ghost Chants Review,Black Metal,4.5
Sulphur Aeon,Gateway to the Antisphere Review,Death Metal,4.5
Ufomammut,Ecate Review,"Doom Metal, Sludge",4.5
Steven Wilson,Hand. Cannot. Erase. Review,Progressive Rock,4.5
The Gentle Storm,The Diary [Vinyl Review],"Folk, Progressive Metal, Progressive Rock",4.5
Ketha,#​!​%​16​.​7 Review,"Avant-Garde, Death Metal, Progressive Metal",4.5
Imperial Triumphant,Abyssal Gods Review,Black Metal,4.5
Primordial,Where Greater Men Have Fallen Review,"Black Metal, Folk Metal",4.5
Voices,London Review,"Black Metal, Death Metal, Progressive Metal",4.5
Ne Obliviscaris,Citadel Review,"Black Metal, Death Metal, Progressive Metal, Symphonic Metal",4.5
Soen,Tellurian Review,,4.5
Horrendous,Ecdysis Review,Death Metal,4.5
Godflesh,A World Lit Only By Fire Review,Industrial Metal,4.5
Alunah,Awakening The Forest Review,Doom Metal,4.5
Audrey Horne,Pure Heavy Review,"Hard Rock, Heavy Metal",4.5
The Haunted,Exit Wounds Review,Thrash Metal,4.5
Origin,Omnipresent Review,Technical Death Metal,4.5
Darkest Era,Severance Review,"Doom Metal, Epic Metal, Heavy Metal",4.5
Vehemenz,Vehemenz Review,Black Metal,4.5
Triptykon,Melana Chasmata Review,"Black Metal, Death Metal, Doom Metal",4.5
Gazpacho,Demon Review,,4.5
Animals as Leaders,The Joy of Motion,Progressive Metal,4.5
Hail Spirit Noir,Oi Magoi Review,Black Metal,4.5
Blood Mortized,"The Demon, the Angel, the Disease Review",Death Metal,4.5
Ayreon,The Theory of Everything Review,Progressive Rock,4.5
Eye of Solitude,Canto III Review,,4.5
Gorguts,Colored Sands Review,Death Metal,4.5
Haken,The Mountain Review,"Progressive Metal, Progressive Rock",4.5
Atlantean Kodex,The White Goddess Review,"Doom Metal, Heavy Metal",4.5
Ataraxie,L’Être et la Nausée Review,"Death Metal, Doom Metal",4.5
Cerekloth,In the Midst of Life We are in Death Review,"Death Metal, Doom Metal",4.5
Locrian,Return to Annihilation Review,,4.5
Author & Punisher,Women & Children Review,Doom Metal,4.5
Svart Crown,Profane Review,Blackened Death Metal,4.5
Summoning,Old Mornings Dawn Review,Black Metal,4.5
Satan,Life Sentence Review,,4.5
Altar of Plagues,Teethed Glory and Injury Review,Black Metal,4.5
Black Boned Angel,The End Review,Doom Metal,4.5
Cnoc An Tursa,The Giants of Auld Review,"Black Metal, Folk Metal",4.5
Cult of Luna,Vertikal Review,,4.5
Voivod,Target Earth Review,Progressive Metal,4.5
Audrey Horne,Youngblood Review,Heavy Metal,4.5
Mors Principium Est,… And Death Said Live Review,Melodic Death Metal,4.5
Ofermod,Thaumiel Review,,4.5
Seven Kingdoms,The Fire is Mine Review,"Heavy Metal, Power Metal",4.5
Dethklok,Dethalbum III Review,,4.5
Hellwell,Beyond the Boundaries of Sin,Heavy Metal,4.5
Threshold,March of Progress Review,"Heavy Metal, Progressive Metal",4.5
Reverence,The Asthenic Ascension Review,Black Metal,4.5
Krampus,Survival of the Fittest Review,Folk Metal,4.5
Bedemon,Symphony of Shadows Review,Doom Metal,4.5
Sophicide,Perdition of the Sublime Review,"Death Metal, Technical Death Metal",4.5
Necrovation,Necrovation Review,Black Metal,4.5
Vintersorg,Orkan Review,,4.5
Luca Turilli’s Rhapsody,Ascending to Infinity Review,Power Metal,4.5
Be’lakor,Of Breath and Bone Review,Melodic Death Metal,4.5
Dawnbringer,Into the Lair of the Sun God Review,Heavy Metal,4.5
Ne Obliviscaris,Portal Of I Review,"Black Metal, Progressive Metal",4.5
Sabaton,Carolus Rex Review,,4.5
Grand Magus,The Hunt Review,Heavy Metal,4.5
Blood Mortized,The Key to a Black Heart Review,Death Metal,4.5
Kontrust,Second Hand Wonderland Review,,4.5
Wodensthrone,Curse Review,Black Metal,4.5
Huntress,Spell Eater Review,,4.5
Inverloch,Dusk | Subside Review,Doom Metal,4.5
Anathema,Weather Systems Review,Not Metal,4.5
Borknagar,Urd Review,Progressive Metal,4.5
Gorod,A Perfect Absolution Review,Technical Death Metal,4.5
Asphyx,Deathhammer Review,"Death Metal, Doom Metal",4.5
Pharaoh,Bury the Light Review,"Heavy Metal, Power Metal",4.5
Woods of Ypres,Woods 5: Grey Skies & Electric Light Review,"Black Metal, Doom Metal, Heavy Metal",4.5
Zebulon Pike,Space is the Corpse of Time Review,,4.5
The 11th Hour,Lacrima Mortis Review,Doom Metal,4.5
Orphaned Land,The Road to OR-Shalem Review,,4.5
Hammers of Misfortune,17th Street Review,"Heavy Metal, Progressive Metal",4.5
Absu,Abzu Review,Black Metal,4.5
Anubis Gate,Anubis Gate Review,,4.5
Sinister Realm,The Crystal Eye Review,"Doom Metal, Heavy Metal",4.5
Toxic Holocaust,Conjure and Command Review,"Heavy Metal, Thrash Metal",4.5
Battle Beast,Steel Review,"Heavy Metal, Power Metal",4.5
Draconian,A Rose for the Apocalypse Review,"Death Metal, Doom Metal",4.5
Rival Sons,Pressure and Time Review,Heavy Metal,4.5
The Black Dahlia Murder,Ritual Review,"Death Metal, Melodic Death Metal",4.5
The Book of Mormon,Cast Recording Review,Not Metal,4.5
Hate Eternal,Phoenix Amongst the Ashes Review,Death Metal,4.5
Within Temptation,The Unforgiving Review,"Gothic Metal, Not Metal",4.5
Amon Amarth,Surtur Rising Review,Melodic Death Metal,4.5
Jag Panzer,The Scourge of the Light Review,"Heavy Metal, Power Metal",4.5
Before the Dawn,Deathstar Rising Review,"Death Metal, Doom Metal, Gothic Metal, Melodic Death Metal",4.5
Turisas,Stand Up and Fight Review,Viking Metal,4.5
Omnium Gatherum,New World Shadows Review,Melodic Death Metal,4.5
Thomas Giles,Pulse Review,"Electronica, Progressive Metal",4.5
Helrunar,Sol Review,"Black Metal, Doom Metal",4.5
Belphegor,Blood Magick Necromance Review,"Black Metal, Death Metal",4.5
Ghost,Opus Eponymous Review,Heavy Metal,4.5
Dawnbringer,Nucleus Review,Heavy Metal,4.5
Fejd,Eifur Review,,4.5
Torture Division,Evighetens Dårar Review,,4.5
Atlantean Kodex,The Golden Bough Review,"Doom Metal, Epic Metal",4.5
Allen/Lande,The Showdown Review,,4.5
Monster Magnet,Mastermind Review,Stoner Rock,4.5
Winterhorde,Underwatermoon Review,Melodic Death Metal,4.5
Accept,Blood of Nations Review,,4.5
Demiurg,Slakthus Gamleby Review,,4.5
Amorphis,Forging the Land of Thousand Lakes Review,"Progressive Death, Progressive Metal",4.5
Istapp,Blekinge Review,"Black Metal, Folk Metal, Melodic Black Metal",4.5
Cynic,Re-Traced Review,Progressive Metal,4.5
Triptykon,Eparistera Daimones Review,"Black Metal, Doom Metal",4.5
The Ocean,Heliocentric Review,Post-Hardcore,4.5
Barren Earth,Curse of the Red River Review,"Death Metal, Doom Metal",4.5
Kaipa,In the Wake of Evolution Review,Progressive Rock,4.5
Finntroll,Nifelvind Review,"Black Metal, Folk Metal",4.5
Sigh,Scenes From Hell Review,Classical,4.5
Be’lakor,Stone’s Reach Review,"Death Metal, Melodic Death Metal",4.5
Månegarm,Nattväsen Review,"Folk Metal, Viking Metal",4.5
Scar Symmetry,Dark Matter Dimensions Review,Melodic Death Metal,4.5
Guilt Machine,On This Perfect Day,Progressive Metal,4.5
Shining,VI/Klagopsalmer Review,Black Metal,4.5
Riverside,Anno Domini High Definition Review,Progressive Metal,4.5
In Mourning,The Immortal Review,"Melodic Black Metal, Melodic Death Metal",4.0
LOMMI,667788 Review,"Blues, Doom Metal, Groove Metal, Stoner Metal",4.0
Blackbraid,Blackbraid III Review,Black Metal,4.0
Völur & Cares,Breathless Spirit Review,"Doom Metal, Drone, Folk Metal",4.0
Crimson Shadows,Whispers of War Review,"Melodic Death Metal, Power Metal",4.0
Bloodletter,Leave the Light Behind Review,"Melodic Death Metal, Thrash Metal",4.0
Phantom Spell,Heather & Hearth Review,"Progressive Metal, Progressive Rock",4.0
Calva Louise,Edge of the Abyss Review,"Electronica, Groove Metal, Metalcore, Progressive Metal",4.0
Abigail Williams,A Void Within Existence Review,"Atmospheric Black Metal, Black Metal",4.0
Sarastus,Agony Eternal Review,"Black Metal, Melodic Black Metal",4.0
Anfauglir,Akallabêth Review,"Black Metal, Symphonic Metal",4.0
Fer De Lance,Fires on the Mountainside Review,Heavy Metal,4.0
King Witch,III Review,"Doom Metal, Heavy Metal",4.0
Cryptopsy,An Insatiable Violence Review,,4.0
Insania,The Great Apocalypse Review,Power Metal,4.0
Professor Emeritus,A Land Long Gone Review,"Doom Metal, Heavy Metal",4.0
Aganoor,Doomerism Review,"Doom Metal, Gothic Metal, Psychedelic Rock, Stoner Metal",4.0
Quadvium,Tetradōm Review,"Instrumental Metal, Progressive Metal",4.0
Labyrinthus Stellarum,Rift in Reality Review,Melodic Black Metal,4.0
Under Ruins,Age of the Void Review,Heavy Metal,4.0
Caustic Wound,Grinding Mechanism of Torment Review,Death Metal,4.0
Dormant Ordeal,Tooth and Nail Review,"Black Metal, Death Metal",4.0
Cruce Signatus,II Review,"Instrumental Metal, Synthwave",4.0
Epica,Aspiral Review,"Power Metal, Progressive Metal, Symphonic Metal",4.0
Messa,The Spin Review,"Blues, Doom Jazz, Doom Metal, Heavy Metal, post-punk, Psychedelic Rock",4.0
Diabolizer,Murderous Revelations Review,Death Metal,4.0
Buried Realm,The Dormant Darkness Review,"Death Metal, Melodic Death Metal, Power Metal, Progressive Death, Progressive Metal, Space Metal, Symphonic Metal, Technical Death Metal",4.0
Urn,Demon Steel Review,"Black Metal, Thrash Metal",4.0
Teitanblood,From the Visceral Abyss Review,"Black Metal, Death Metal",4.0
La Torture des Ténèbres,Episode VII – Revenge of Unfailing Valor Review,"Atmospheric Black Metal, Noise",4.0
Aran Angmar,Ordo Diabolicum Review,Black Metal,4.0
Ritual Ascension,Profanation of the Adamic Covenant Review,,4.0
Havukruunu,Tavastland Review,"Black Metal, Viking Metal",4.0
Grima,Nightside Review,"Atmospheric Black Metal, Black Metal, Folk Metal",4.0
Retromorphosis,Psalmus Mortis Review,"Death Metal, Technical Death Metal",4.0
Apocalypse Orchestra,A Plague upon Thee Review,"Doom Metal, Folk Metal",4.0
Novarupta,Astral Sands Review,"Alternative Metal, Ambient Metal, Post-Metal",4.0
Saor,Amidst the Ruins Review,"Black Metal, Folk Metal",4.0
Marko Hietala,Roses from the Deep Review,Symphonic Metal,4.0
Wardruna,Birna Review,"Folk Metal, Not Metal",4.0
Dax Riggs,7 Songs for Spiders Review,Not Metal,4.0
Master Spy,Maze Runner Review,Power Metal,4.0
Wyatt E.,Zamāru Ultu Qereb Ziqquratu Part 1 Review,"Doom Metal, Folk Metal",4.0
Faithxtractor,Loathing and the Noose Review,"Blackened Death Metal, Death Doom, Death Metal",4.0
Mutagenic Host,The Diseased Machine Review,Death Metal,4.0
Forndom,Moþir Review,"Folk, Neofolk, Not Metal",4.0
Pillar of Light,Caldera Review,"Doom Metal, Post-Metal, Sludge",4.0
Stenched,Purulence Gushing From the Coffin Review,Death Metal,4.0
Fellowship,The Skies Above Eternity Review,Power Metal,4.0
Defeated Sanity,Chronicles of Lunacy Review,"Death Metal, Technical Death Metal",4.0
Panzerfaust,The Suns of Perdition – Chapter IV: To Shadow Zion Review,"Atmospheric Black Metal, Black Metal",4.0
Paysage d’Hiver,Die Berge Review,Black Metal,4.0
Mitochondrion,Vitriseptome Review,"Blackened Death Metal, Death Metal, Noise",4.0
Black Curse,Burning in Celestial Poison Review,Blackened Death Metal,4.0
Gaerea,Coma Review,"Atmospheric Black Metal, Black Metal, Melodic Black Metal",4.0
Iotunn,Kinship Review,"Melodic Death Metal, Progressive Metal",4.0
Silhouette,Les Dires de l’​Â​me Review,"Atmospheric Black Metal, Black Metal, Post-Hardcore, Post-Metal, Shoegaze",4.0
Ataraxie,Le Déclin Review,"Death Metal, Doom Metal",4.0
Doedsmaghird,Omniverse Consciousness Review,Black Metal,4.0
Blood Incantation,Absolute Elsewhere Review,"Death Metal, Progressive Metal, Progressive Rock",4.0
